"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","I.C_2 Case with minimum number of fields","","Sun May 18 21:15:47 UTC 2025","skipped","Sun May 18 21:15:47 UTC 2025","","Import Cases","",""
"","26084","1.4. redirect to Case View page","Add Person","Sun May 18 21:23:40 UTC 2025","failed","Sun May 18 21:24:06 UTC 2025","","1. Org Admin","",""
"","0","5 Validation messages for invalid values","","Sun May 18 21:17:41 UTC 2025","skipped","Sun May 18 21:17:41 UTC 2025","","Import Legacy Chain of Custody","",""
"","27211","3.1 Verify ""Re-Distribute"" for ""Past Due"" cases","Auto-Disposition","Sun May 18 21:14:22 UTC 2025","failed","Sun May 18 21:14:49 UTC 2025","","3. Verify ""Re-Distribute Case Review Dates"" functionality","",""
"","27087","1. Report from Case View page - Items tab","Reports","Sun May 18 21:18:47 UTC 2025","failed","Sun May 18 21:19:14 UTC 2025","","Verify generating and opening Report ""Primary Label 4X3""","",""
"","1","7.1 verify all values are properly saved to the custom form -single user in custom User/User Group field","Add Case","Sun May 18 21:17:38 UTC 2025","broken","Sun May 18 21:17:38 UTC 2025","","7. --- with required Custom Form filled out, all required fields on Form","",""
"","1","1.5 Org Admin-- minimum case fields -- redirect to Media tab on Case View page","Add Case","Sun May 18 21:15:02 UTC 2025","skipped","Sun May 18 21:15:02 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","26063","I.T_1.1 Import Legacy Tasks for Case","","Sun May 18 21:17:53 UTC 2025","failed","Sun May 18 21:18:19 UTC 2025","","Import Tasks","",""
"","0","2. Edit and verify all values on Case View page -- keep the previous values and add new ones in multiselect fields (Case Officers, Tags)","","Sun May 18 21:15:28 UTC 2025","skipped","Sun May 18 21:15:28 UTC 2025","","Edit Case","",""
"","26045","6 Validation messages for not mapped fields","","Sun May 18 21:22:31 UTC 2025","failed","Sun May 18 21:22:57 UTC 2025","","Import Notes","",""
"","0","I.C.U_2 Case Updates Import - Precheck Only","","Sun May 18 21:15:10 UTC 2025","skipped","Sun May 18 21:15:10 UTC 2025","","Import Case Updates","",""
"","26042","A.M_3. Add Media to Person","","Sun May 18 21:20:33 UTC 2025","failed","Sun May 18 21:20:59 UTC 2025","","Add Media","",""
"","126","2.1. Create and run DR for 2 storage locations that have: container with item, empty container, sub-location, empty sub-container and sub-container with item - No Discrepancies Found","Inventory Reports","Sun May 18 21:15:09 UTC 2025","failed","Sun May 18 21:15:09 UTC 2025","","2. Parent/child locations with items and containers","",""
"","26050","9 Validation messages for blank values","","Sun May 18 21:23:50 UTC 2025","failed","Sun May 18 21:24:16 UTC 2025","","Import Notes","",""
"","28656","Add User ","","Sun May 18 21:26:34 UTC 2025","failed","Sun May 18 21:27:03 UTC 2025","","Add User","",""
"","26059","I.T_1.2 Import Legacy Tasks for Case - Precheck Only","","Sun May 18 21:18:19 UTC 2025","failed","Sun May 18 21:18:45 UTC 2025","","Import Tasks","",""
